c0,cf,v0,vf,d,deviation,expectedvf,expectedcf
0.1,0.131888798,1320.477377,1038.539574,0,-4.07485003467942,960.407497341345,0.137491364931596
0.2,0.128120187,823.7298203,1226.498109,0,-6.81583016959544,1198.22771518752,0.137491364931596
0.1,0.13119172,1445.364528,1111.961888,0,-4.58184769256637,1051.24022059064,0.137491364931596
0.2,0.14332027,814.7513805,1136.966012,0,4.2394699269322,1185.16734618985,0.137491364931596
0.1,0.136094799,1348.139111,997.1648676,0,-1.01574810337448,980.526385544806,0.137491364931596
0.2,0.140232305,749.9617887,1063.226013,0,1.99353615390122,1090.92202128201,0.137491364931596
0.1,0.118168694,1353.45695,1145.360001,0,-14.0537341681127,984.394147714922,0.137491364931596
0.2,0.184606843,746.7598558,813.887904,3,34.2679542761425,1086.26437183386,0.137491364931596
0.1,0.103210222,1310.583235,1254.643195,9,-24.9333061379176,953.211305780571,0.137491364931596
0.2,0.177840823,772.1063456,868.3232147,10.2,29.3469034135184,1123.13430881151,0.137491364931596
0.1,0.106303772,1440.723413,1348.981747,8.5,-22.6833102916046,1047.86465223963,0.137491364931596
0.2,0.185523986,677.0601759,741.9506225,8.5,34.9350092584363,984.876652052797,0.137491364931596
0.2,0.171415961,657.4382128,767.0806915,17,24.6739830427035,956.333822312527,0.137491364931596
0.1,0.104975214,1389.464944,1304.436083,0,-23.6495949747634,1010.58342441453,0.137491364931596
0.2,0.130208947,896.4205699,1211.922396,0,-5.29663658166417,1303.96635504489,0.137491364931596
0.1,0.102731606,1419.873785,1379.948885,18.51851852,-25.281412362798,1032.70033409473,0.137491364931596
0.2,0.189306286,797.7899713,835.7762376,17,37.6859456549742,1160.49465607809,0.137491364931596
0.2,0.17497977,699.7179967,804.8852722,1,27.2660069140012,1017.83555214266,0.137491364931596
0.1,0.104787821,1311.079744,1261.852509,1,-23.7858893522999,953.572425913641,0.137491364931596
0.1,0.128509381,1623.290246,1267.243078,252,-11.0408794369976,1123.70374504146,0.144458915720719
0.2,0.141271038,1434.700962,1979.243689,214,-2.20677118114445,1986.31002433065,0.144458915720719
0.1,0.140768583,1401.581769,1040.298614,208,-2.55458979621101,970.228636984697,0.144458915720719
0.2,0.149658656,1466.292818,1882.553845,184,3.59945957875945,2030.04821223326,0.144458915720719
0.1,0.139124205,1436.040852,1077.37569,184,-3.69289129307331,994.082535394554,0.144458915720719
0.2,0.14638197,1027.48877,1357.355998,161,1.33121190179723,1422.53424078918,0.144458915720719
0.2,0.140285591,906.3494806,1210.03677,110,-2.88893537646843,1254.81971961113,0.144458915720719
0.1,0.132187151,1487.185456,1146.846252,110,-8.49498603772124,1029.48679116155,0.144458915720719
0.2,0.139657128,1117.109507,1509.808589,92,-3.32398156026715,1546.61206118936,0.144458915720719
0.1,0.125509889,1569.10615,1300.246556,92,-13.1172427995739,1086.19543637829,0.144458915720718
0.2,0.13529587,1172.190004,1577.979055,155,-6.34301155799437,1622.86972479592,0.144458915720719
0.1,0.128239993,1939.674282,1557.447176,159,-11.2273601389024,1342.716904888,0.144458915720719
0.2,0.141199969,445.8066583,560.9983889,159,-2.25596786772162,617.208922101942,0.144458915720718
