,Directory,ExperimentID,ExperimentID_full,ID,Setup,c0,cf,n10,n1f,n20,n2f,path,v0,vf,dropID,Medium,ExperimentID_Init,SteadyState,Comments,mind,dev_cf
26,G:\BackUp_Data\MIS3\20150531\transformed,2,E19,150,MIS3,0.2,0.190297404,17.9487,28.2051,31.6239,39.3162,G:\BackUp_Data\MIS3\20150531\transformed\drop_00_09_concentration.csv,900.2291586,946.1286787,10,0.60%,,N,,17.9587,32.46041195
27,G:\BackUp_Data\MIS3\20150531\transformed,2,E20,151,MIS3,0.1,0.106370297,31.6239,39.3162,16.2393,15.3846,G:\BackUp_Data\MIS3\20150531\transformed\drop_00_11_concentration.csv,1437.044215,1350.982615,11,0.60%,,N,,15.3946,-25.95877299
28,G:\BackUp_Data\MIS3\20150531\transformed,2,E21,152,MIS3,0.2,0.183636948,16.2393,15.3846,37.6068,39.3162,G:\BackUp_Data\MIS3\20150531\transformed\drop_00_12_concentration.csv,1030.229276,1122.028316,12,0.60%,,N,,15.3946,27.82426447
29,G:\BackUp_Data\MIS3\20150531\transformed,2,E22,153,MIS3,0.1,0.104281214,37.6068,39.3162,29.0598,31.6239,G:\BackUp_Data\MIS3\20150531\transformed\drop_00_13_concentration.csv,1257.765874,1206.128914,13,0.60%,,N,,29.0698,-27.41292181
30,G:\BackUp_Data\MIS3\20150531\transformed,2,E23,154,MIS3,0.2,0.192117643,29.0598,31.6239,51.282,35.0427,G:\BackUp_Data\MIS3\20150531\transformed\drop_00_15_concentration.csv,978.8752249,1019.037305,14,0.60%,,N,,29.0698,33.72742629
31,G:\BackUp_Data\MIS3\20150531\transformed,2,E24,155,MIS3,0.1,0.102646939,51.282,35.0427,,,G:\BackUp_Data\MIS3\20150531\transformed\drop_00_14_concentration.csv,889.979872,867.0301119,15,0.60%,,N,,35.0527,-28.55049231
33,G:\BackUp_Data\MIS3\20140226\transformed,3,E6,84,MIS3,0.1,0.110062189,,,136,136,G:\BackUp_Data\MIS3\20140226\transformed\drop_00_02_concentration.csv,1451.67411,1314.16332,2,2%,E6,N,,136.01,-23.91217136
34,G:\BackUp_Data\MIS3\20140226\transformed,3,E6,85,MIS3,0.2,0.194198269,136,136,111,111,G:\BackUp_Data\MIS3\20140226\transformed\drop_00_03_concentration.csv,1056.901649,1093.923785,3,2%,E6,N,,111.01,34.25250532
35,G:\BackUp_Data\MIS3\20140226\transformed,3,E6,86,MIS3,0.1,0.104189592,111,111,89,89,G:\BackUp_Data\MIS3\20140226\transformed\drop_00_04_concentration.csv,1513.525662,1452.703582,4,2%,E6,N,,89.01,-27.9719957
36,G:\BackUp_Data\MIS3\20140226\transformed,3,E6,87,MIS3,0.2,0.175947581,89,89,110,110,G:\BackUp_Data\MIS3\20140226\transformed\drop_00_05_concentration.csv,1063.115175,1187.403774,5,2%,E6,NY,,89.01,21.63550003
37,G:\BackUp_Data\MIS3\20140226\transformed,3,E6,88,MIS3,0.1,0.130737316,110,110,0,0,G:\BackUp_Data\MIS3\20140226\transformed\drop_00_06_concentration.csv,1658.079113,1290.502195,6,2%,E6,NY,Started non-touching but teached the adjacent drop in the middle of the experiment,0.01,-9.61911091
38,G:\BackUp_Data\MIS3\20140226\transformed,3,E6,89,MIS3,0.2,0.152774081,0,0,,,G:\BackUp_Data\MIS3\20140226\transformed\drop_00_07_concentration.csv,1137.928684,1444.683522,7,2%,E6,Y,Started non-touching but teached the adjacent drop in the middle of the experiment,0.01,5.615272618
39,G:\BackUp_Data\MIS3\20140226\transformed,4,E7,90,MIS3,0.2,0.156442119,,,0,0,G:\BackUp_Data\MIS3\20140226\transformed\drop_01_01_concentration.csv,1064.82714,1347.782033,1,2%,E6,Y,,0.01,6.93727417
40,G:\BackUp_Data\MIS3\20140226\transformed,4,E7,91,MIS3,0.1,0.145551615,0,0,21,21,G:\BackUp_Data\MIS3\20140226\transformed\drop_01_02_concentration.csv,1356.210051,946.3221202,2,2%,E6,NY,,0.01,-0.507017812
41,G:\BackUp_Data\MIS3\20140226\transformed,4,E7,92,MIS3,0.2,0.157874686,21,21,0,0,G:\BackUp_Data\MIS3\20140226\transformed\drop_01_03_concentration.csv,1012.889061,1242.95519,3,2%,E6,Y,,0.01,7.916516915
42,G:\BackUp_Data\MIS3\20140226\transformed,4,E7,93,MIS3,0.1,0.131309105,0,0,37,37,G:\BackUp_Data\MIS3\20140226\transformed\drop_01_04_concentration.csv,1362.588702,1055.833864,4,2%,E6,N,,0.01,-10.24260057
43,G:\BackUp_Data\MIS3\20140226\transformed,4,E7,94,MIS3,0.2,0.145470899,37,37,0,0,G:\BackUp_Data\MIS3\20140226\transformed\drop_01_05_concentration.csv,1037.038548,1396.682152,5,2%,E6,Y,,0.01,-0.562191885
44,G:\BackUp_Data\MIS3\20140226\transformed,4,E7,95,MIS3,0.1,0.141111666,0,0,71,71,G:\BackUp_Data\MIS3\20140226\transformed\drop_01_06_concentration.csv,1455.355845,1061.334544,6,2%,E6,Y,,0.01,-3.541980816
51,G:\BackUp_Data\MIS3\20140226\transformed,5,,103,MIS3,0.1,0.133778935,,,0,0,G:\BackUp_Data\MIS3\20140226\transformed\drop_02_01_concentration.csv,1418.529324,1103.841171,1,2%,E6,,,0.01,-8.963307182
52,G:\BackUp_Data\MIS3\20140226\transformed,5,,104,MIS3,0.2,0.152590373,0,0,25,25,G:\BackUp_Data\MIS3\20140226\transformed\drop_02_02_concentration.csv,1183.121975,1450.210239,2,2%,E6,,,0.01,3.837894313
53,G:\BackUp_Data\MIS3\20140226\transformed,5,,105,MIS3,0.1,0.133079861,25,25,0,0,G:\BackUp_Data\MIS3\20140226\transformed\drop_02_03_concentration.csv,1426.172454,1151.150875,3,2%,E6,,,0.01,-9.439027705
54,G:\BackUp_Data\MIS3\20140226\transformed,5,,106,MIS3,0.2,0.164815255,0,0,0,0,G:\BackUp_Data\MIS3\20140226\transformed\drop_02_04_concentration.csv,1140.276732,1322.742972,4,2%,E6,,,0.01,12.15693817
